"V1","V2"
"1978",1
"1983",1
"1985",1
"1987",1
"4",1
"5",1
"able",1
"aboriginal",1
"about",9
"acrid",1
"across",2
"actually",1
"after",8
"afternoon",1
"again",8
"against",1
"ago",3
"air",1
"all",18
"almost",1
"alone",4
"already",1
"always",4
"am",4
"among",1
"ancestor",3
"ankle",1
"annoyed",2
"another",1
"ant",1
"anthem",1
"antipodes",2
"ants",1
"any",4
"anything",1
"anywhere",1
"around",2
"ary",1
"ask",3
"asked",1
"asks",1
"ate",1
"australia's",1
"away",6
"b",2
"bachelors",1
"back",15
"backward",1
"barks",1
"baton",4
"beauty",2
"because",1
"been",8
"before",7
"beginning",1
"behind",4
"being",6
"believed",1
"belonged",1
"belongs",1
"below",1
"best",2
"better",1
"between",1
"bigamy",1
"billy",1
"bishop",1
"bit",1
"bitten",1
"black",2
"blinked",1
"blisters",1
"bloody",1
"body",1
"boil",1
"boomerang",1
"boss",3
"both",3
"bounces",1
"bralgu",1
"branches",1
"brought",6
"bruised",1
"bunch",1
"bungawa",26
"bungawa's",2
"bush",12
"bushes",4
"bushy",1
"business",1
"busy",3
"called",2
"calling",1
"came",5
"can",7
"carry",1
"cast",1
"caught",1
"cere",1
"ceremonial",1
"ceremony",1
"charmed",1
"chat",1
"chatted",1
"chatter",1
"chest",2
"choir",3
"choked",1
"choose",1
"chop",1
"chose",1
"christian",1
"church",1
"claim",2
"clapping",1
"claps",1
"clatter",1
"clattered",1
"closer",1
"clothed",1
"collar",1
"collection",2
"comb",1
"come",10
"coming",1
"complained",1
"completing",1
"congregation",1
"contagious",1
"converted",1
"corrected",1
"corrugated",1
"could",6
"country",6
"couple",1
"covered",1
"crack",1
"crawling",1
"creep",1
"cross",1
"crunch",1
"crushing",1
"cuddled",1
"cup",2
"cure",1
"curse",1
"cursed",1
"cut",1
"cycad",1
"day",8
"days",4
"dead",1
"deal",5
"deals",2
"decent",1
"decided",1
"deep",1
"denly",1
"devil",1
"did",3
"dies",1
"different",2
"dig",1
"dingo",6
"dingo's",2
"dingoes",2
"disappeared",2
"disperse",1
"disturb",1
"dizzy",1
"djara",1
"do",6
"doctor",2
"dodd",2
"does",3
"dog",1
"dogoody",17
"dogoody's",1
"don't",2
"dormitory",1
"doubt",6
"down",6
"dragged",2
"drawn",1
"dream",2
"dreaming",1
"drifting",1
"dry",1
"dust",1
"each",8
"ears",1
"easily",1
"eaten",1
"eating",1
"echoes",1
"efogoody",1
"either",1
"elders",2
"else",1
"embarrassed",1
"empty",1
"end",1
"epileptic",4
"even",4
"ever",7
"evergreen",1
"every",8
"everyone",1
"everything",1
"excitement",1
"explain",1
"explains",1
"express",1
"eyebrows",1
"far",1
"feel",2
"feels",1
"fell",1
"fellow",4
"felt",1
"fetch",1
"few",2
"fiddle",1
"find",3
"finding",1
"finds",1
"fingers",2
"finish",1
"fire",4
"first",4
"fit",1
"fits",8
"floats",1
"flock",1
"flood",1
"flooded",1
"fly",1
"followed",2
"food",1
"forces",1
"forehead",1
"forthcoming",1
"found",2
"free",2
"friend",1
"from",23
"front",4
"fur",2
"further",1
"gabo",1
"gathered",1
"gave",1
"gazes",1
"get",1
"gift",1
"gins",1
"girl",6
"girls",4
"give",2
"given",6
"glad",1
"glances",1
"going",1
"gone",1
"good",5
"got",3
"grace",9
"grace's",1
"great",1
"green",1
"grew",3
"grief",1
"grind",1
"grins",1
"grip",2
"groomed",2
"ground",3
"grouped",1
"grown",3
"gum",1
"had",9
"hair",1
"halts",3
"hand",6
"handful",1
"hands",8
"hanging",1
"hangs",1
"happens",1
"happier",1
"hard",1
"hardly",5
"has",18
"hasten",2
"hastens",2
"hatchet",4
"hatchets",1
"have",30
"he",60
"he'd",1
"head",1
"headband",1
"healer",1
"hear",2
"heard",2
"heart",1
"her",10
"here",6
"hills",1
"him",13
"his",53
"history",2
"hold",2
"holds",1
"hollow",2
"hollowed",1
"holly",6
"home",2
"homes",1
"hope",2
"hot",2
"how",6
"howl",6
"howled",1
"howling",7
