WORDCOUNTS,WEIGHT
the,53
and,14
with,7
india,6
asia,4
bali,4
but,4
heat,4
more,4
australian,3
century,3
from,3
has,3
have,3
his,3
late,3
long,3
not,3
region,3
sun,3
was,3
when,3
about,2
against,2
australians,2
been,2
before,2
being,2
brighter,2
british,2
for,2
indian,2
into,2
island,2
literary,2
new,2
novels,2
one,2
passage,2
polo,2
southern,2
that,2
without,2
you,2
account,1
addresses,1
adela,1
adelas,1
adventures,1
affected,1
affianced,1
air,1
anticlimax,1
anxiety,1
are,1
asian,1
asianisation,1
aspiration,1
assures,1
attractive,1
australiaasia,1
aziz,1
backlash,1
began,1
behind,1
bellyful,1
boiled,1
borne,1
both,1
bridegroom,1
britain,1
bugbear,1
catastrophised,1
caves,1
centuries,1
chamber,1
coastal,1
cold,1
colour,1
compelled,1
complained,1
contemporary,1
context,1
could,1
country,1
course,1
critics,1
cropping,1
day,1
definitive,1
demonisation,1
descriptive,1
did,1
died,1
different,1
disappointingly,1
disdaining,1
disenchanted,1
distaste,1
dryly,1
dust,1
east,1
eastern,1
egg,1
embrace,1
encounter,1
enter,1
enthusiasm,1
equable,1
essential,1
estimation,1
expects,1
experiences,1
eyes,1
felt,1
finding,1
finest,1
form,1
forster,1
forsters,1
frisson,1
frustration,1
future,1
gauge,1
generated,1
gerster,1
globe,1
globetrotters,1
grew,1
hardly,1
haul,1
held,1
hen,1
her,1
honeymoon,1
hordes,1
hot,1
human,1
humanity,1
humdrum,1
imagined,1
imperial,1
increasingly,1
incredibly,1
inflated,1
intensely,1
intensity,1
intimate,1
its,1
jhabvalas,1
journey,1
just,1
kind,1
lamenting,1
later,1
lifes,1
lived,1
lovers,1
make,1
many,1
marabar,1
marco,1
marks,1
marriage,1
memsahibs,1
mere,1
metaphor,1
mexican,1
mind,1
moment,1
most,1
mounted,1
much,1
must,1
national,1
naturalised,1
needs,1
neocolonial,1
night,1
nothing,1
notorious,1
numbers,1
obsessively,1
occurred,1
old,1
once,1
oriental,1
over,1
oxymoronic,1
paradise,1
particulars,1
passions,1
pattern,1
peripatetic,1
personal,1
powerful,1
prawer,1
prepared,1
presaged,1
principal,1
produce,1
promise,1
provides,1
psychology,1
purple,1
put,1
quested,1
quilon,1
rape,1
readers,1
redefining,1
relationships,1
replaced,1
reputation,1
responses,1
revile,1
rivers,1
robin,1
romantic,1
rose,1
ruth,1
saddled,1
sahibs,1
seen,1
shawms,1
she,1
should,1
shoulder,1
simmering,1
since,1
situation,1
sly,1
societies,1
specious,1
splendour,1
strained,1
suggestion,1
sunrise,1
supreme,1
temperature,1
than,1
these,1
thirteenth,1
throbbed,1
ties,1
tolerant,1
tourist,1
tourists,1
toward,1
tradition,1
traditions,1
train,1
travel,1
traveller,1
travellers,1
travels,1
trees,1
trumpets,1
turning,1
twentieth,1
twenty,1
unhappily,1
unrelated,1
vehemence,1
venetian,1
viewed,1
visits,1
wait,1
warm,1
weather,1
western,1
while,1
whingeing,1
why,1
would,1
writing,1
years,1
yellow,1
yet,1
young,1
