id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed.work	abstract
data/JASAL3/1/AYRES	doi	Rosemary Dobson--The Text and The Textile	Mary-Louise AYRES	JASAL	SI	1	1994-01-01	57-63	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9439
data/JASAL3/2/BLABER	doi	'Apocalepsus':<U+00A0>The Year of the Angry Rabbitand Braddon's View of Australia	Ron BLABER	JASAL	SI	1	1994-01-01	127-132	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9451
data/JASAL3/3/BENNETT	doi	'Asian Australian' migrant Identity: Brian Castro's<U+00A0>Birds of Passage<U+00A0>and<U+00A0>After China	Cathy BENNETT	JASAL	SI	1	1994-01-01	145-152	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9454
data/JASAL3/4/CHADWICK	doi	'Sweet Relief': The Politics of Erotic Experience in the Poetry of Lesbia Harford, Mary Fullerton and Zora Cross	Kate CHADWICK	JASAL	SI	1	1994-01-01	71-78	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9441
data/JASAL3/5/CHARLWOOD	doi	The Transformation of Experience into Literary Form in My Writings about the War	Don CHARLWOOD	JASAL	SI	1	1994-01-01	113-115	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9448
data/JASAL3/6/CLANCY	doi	'City of Sighs': The Poetry of John Shaw Neilson	Laurie CLANCY	JASAL	SI	1	1994-01-01	48-56	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9438
data/JASAL3/7/COATES	doi	Guns 'n' Roses: Australian Women Writers' Bold-And-Not-So-Bold Journeys into the Great War	Donna COATES	JASAL	SI	1	1994-01-01	120-126	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9450
data/JASAL3/8/DOCKER	doi	White Mythologies: Ethnicity and Identity in White and Joyce -<U+00A0>Riders in the Chariot<U+00A0>andUlysses	John DOCKER	JASAL	SI	1	1994-01-01	207-211	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9463
data/JASAL3/9/FRANKLIN	doi	A Lost Novel by George Chamier	Carol FRANKLIN	JASAL	SI	1	1994-01-01	87-92	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9443
data/JASAL3/10/FREIMAN	doi	Journey as Genre: The Search for Home and History in Arnold Zable's<U+00A0>Jewels and Ashes	Marcelle FREIMAN	JASAL	SI	1	1994-01-01	153-158	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9455
data/JASAL3/11/GODDARD	doi	Contingency or Remedy? That Little Herb of Self-Heal	Kerry GODDARD	JASAL	SI	1	1994-01-01	28-34	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9435
data/JASAL3/12/GOULD	doi	A Gravitational Pull	Alan GOULD	JASAL	SI	1	1994-01-01	108-112	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9447
data/JASAL3/14/KEANE	doi	Newcomers, Postmodernism and Feminist Experiment	Colleen KEANE	JASAL	SI	1	1994-01-01	165-171	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9457
data/JASAL3/15/KILEY	doi	The Vernacular Country Club: Traditional experiment, experimental tradition and Les Murray's<U+00A0>The Boys Who Stole the Funeral	Dean KILEY	JASAL	SI	1	1994-01-01	64-70	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9440
data/JASAL3/16/KIRKPATRICK	doi	Slessor's Darlinghurst Nights: Troping the Light Fantastic	Peter KIRKPATRICK	JASAL	SI	1	1994-01-01	7,13	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9432
data/JASAL3/17/LEE	doi	Monumental Authority and Regional Identity: The Canonisation of George Essex Evans	Christoper LEE	JASAL	SI	1	1994-01-01	93-99	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9444
data/JASAL3/18/LITTLE	doi	Auntie Rita's Story	Janine LITTLE	JASAL	SI	1	1994-01-01	159-164	publisher	type	reviewed_work	https://openjournals.library.sydney.edu.au/index.php/JASAL/article/view/9456
