WORDCOUNTS,WEIGHT
the,290
and,150
with,42
which,41
her,40
eye,38
that,35
she,24
dobson,23
from,23
between,21
for,21
poems,20
this,20
into,19
but,16
dobsons,16
birth,15
world,15
apparition,14
child,14
one,14
what,14
are,13
other,13
there,13
body,11
also,10
can,10
grief,10
not,10
poem,10
these,10
both,9
linen,9
shadow,9
through,9
two,9
ofthe,8
seems,8
words,8
birds,7
blind,7
edge,7
like,7
poetry,7
sense,7
time,7
you,7
after,6
asal,6
back,6
dipping,6
has,6
here,6
indeed,6
its,6
language,6
light,6
linens,6
proceedings,6
sea,6
shadowy,6
visionary,6
when,6
always,5
away,5
backwards,5
chest,5
clothes,5
cockatoo,5
death,5
hands,5
line,5
long,5
many,5
moment,5
only,5
outside,5
rosemary,5
self,5
solid,5
swaddling,5
textile,5
undeciphered,5
water,5
wave,5
way,5
white,5
will,5
window,5
work,5
all,4
before,4
beyond,4
cover,4
edges,4
empty,4
external,4
fall,4
figure,4
filaments,4
first,4
gathered,4
good,4
have,4
holland,4
images,4
knowledge,4
life,4
lost,4
mother,4
mystery,4
our,4
over,4
realm,4
room,4
seeing,4
series,4
shift,4
sieving,4
something,4
sydney,4
they,4
thin,4
those,4
unseen,4
visions,4
was,4
washed,4
woman,4
wooden,4
yet,4
against,3
almost,3
angus,3
australia,3
been,3
believing,3
blindness,3
calls,3
cannot,3
canvases,3
cloth,3
cock,3
comes,3
confluence,3
dark,3
distaff,3
drifting,3
early,3
elsewhere,3
emphasis,3
eyes,3
fabric,3
face,3
grave,3
hand,3
how,3
internal,3
joy,3
landscapes,3
letting,3
lives,3
love,3
merely,3
might,3
mirror,3
more,3
nature,3
oflinen,3
omen,3
out,3
own,3
paper,3
particular,3
perfect,3
promise,3
read,3
recognition,3
remains,3
restlessness,3
robertson,3
seemed,3
semiotic,3
set,3
several,3
sheet,3
shifts,3
side,3
significant,3
space,3
speak,3
stanza,3
such,3
tell,3
tension,3
thus,3
uncover,3
understanding,3
untold,3
very,3
weaving,3
winding,3
women,3
worlds,3
writing,3
about,2
absolution,2
again,2
age,2
agency,2
allows,2
ampersand,2
anatomy,2
another,2
answer,2
apparent,2
apprehensions,2
ask,2
associated,2
australian,2
baby,2
backdrops,2
balance,2
becomes,2
belongs,2
blinded,2
blurred,2
bones,2
books,2
born,2
box,2
brilliance,2
calico,2
coat,2
collected,2
come,2
communication,2
continual,2
continually,2
convex,2
creative,2
crow,2
crown,2
daughter,2
day,2
dense,2
describe,2
different,2
diffuse,2
dipped,2
displacement,2
does,2
down,2
drawn,2
dream,2
each,2
earlier,2
earth,2
edged,2
even,2
existing,2
fabrics,2
female,2
folds,2
forever,2
frayed,2
gentle,2
great,2
greet,2
had,2
hair,2
halfway,2
healthy,2
heavy,2
hers,2
however,2
image,2
imagistic,2
inside,2
itself,2
know,2
known,2
knows,2
land,2
landscape,2
last,2
later,2
lid,2
lies,2
lint,2
longed,2
look,2
morning,2
mothers,2
movement,2
much,2
mysterious,2
national,2
need,2
new,2
night,2
ofa,2
ofaustralian,2
ofcolour,2
offers,2
oftwo,2
omens,2
onto,2
