id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed.work	abstract
data/Southerly/2012/v072n01/Sthrly2012V072N01/006	doi	Editorial	Elizabeth McMahon	Southerly	72	1	2012-01-01	6-9	publisher	type	reviewed-work	url
data/Southerly/2012/v072n01/Sthrly2012V072N01/010	doi	Southerly salutes Rosemary Dobson	Felicity Plunkett	Southerly	72	1	2012-01-01	10-17	publisher	type	reviewed-work	url
data/Southerly/2012/v072n01/Sthrly2012V072N01/018	doi	George Jeffreys 13: George Jeffreys woke up in Beijing	Jennifer Maiden	Southerly	72	1	2012-01-01	18-26	publisher	type	reviewed-work	url
data/Southerly/2012/v072n01/Sthrly2012V072N01/027	doi	Golden scree; Music and weather	Jill Jones	Southerly	72	1	2012-01-01	27-29	publisher	type	reviewed-work	url
data/Southerly/2012/v072n01/Sthrly2012V072N01/030	doi	Sugarloaf	Helen Verity Hewitt	Southerly	72	1	2012-01-01	30-35	publisher	type	reviewed-work	url
data/Southerly/2012/v072n01/Sthrly2012V072N01/036	doi	Leaving the party: Dorothy Hewett, literary politics and the long 1960s	Fiona Morrison	Southerly	72	1	2012-01-01	36-50	publisher	type	reviewed-work	url
data/Southerly/2012/v072n01/Sthrly2012V072N01/051	doi	Cloves remind me of siblings	Julie Chevalier	Southerly	72	1	2012-01-01	51	publisher	type	reviewed-work	url
data/Southerly/2012/v072n01/Sthrly2012V072N01/052	doi	Newtown Dawn, Hawkesbury Dusk	Susan Adams	Southerly	72	1	2012-01-01	52	publisher	type	reviewed-work	url
data/Southerly/2012/v072n01/Sthrly2012V072N01/053	doi	Yrs Patrick: Thea Astley's brush with timely advice on “the rackety career of novel writing”	Karen Lamb	Southerly	72	1	2012-01-01	53-65	publisher	type	reviewed-work	url
data/Southerly/2012/v072n01/Sthrly2012V072N01/066	doi	Through a cupboard, darkly	David Cohen	Southerly	72	1	2012-01-01	66-70	publisher	type	reviewed-work	url
data/Southerly/2012/v072n01/Sthrly2012V072N01/071	doi	Dazzling dark - lantana lane (1959)	Helen O'Reilly	Southerly	72	1	2012-01-01	71-80	publisher	type	reviewed-work	url
data/Southerly/2012/v072n01/Sthrly2012V072N01/081	doi	In the desert	R Wood	Southerly	72	1	2012-01-01	81	publisher	type	reviewed-work	url
data/Southerly/2012/v072n01/Sthrly2012V072N01/082	doi	In the clouds	Sebastian Gurciollo	Southerly	72	1	2012-01-01	82-83	publisher	type	reviewed-work	url
data/Southerly/2012/v072n01/Sthrly2012V072N01/084	doi	The roadside bramble	Peter Minter	Southerly	72	1	2012-01-01	84-86	publisher	type	reviewed-work	url
data/Southerly/2012/v072n01/Sthrly2012V072N01/087	doi	Non-places for non people: Social sculpture in minto	Ed Scheer	Southerly	72	1	2012-01-01	87-97	publisher	type	reviewed-work	url
data/Southerly/2012/v072n01/Sthrly2012V072N01/098	doi	Anonymous of troy from part one out of the blue	Didier Coste	Southerly	72	1	2012-01-01	98-100	publisher	type	reviewed-work	url
data/Southerly/2012/v072n01/Sthrly2012V072N01/101	doi	Rose bay airport, 1944	Margaret Bradstock	Southerly	72	1	2012-01-01	101-102	publisher	type	reviewed-work	url
data/Southerly/2012/v072n01/Sthrly2012V072N01/103	doi	Boys	A Patric	Southerly	72	1	2012-01-01	103-108	publisher	type	reviewed-work	url
data/Southerly/2012/v072n01/Sthrly2012V072N01/109	doi	Holiday snap; Impossible preludes	Andrew Taylor	Southerly	72	1	2012-01-01	109-110	publisher	type	reviewed-work	url
data/Southerly/2012/v072n01/Sthrly2012V072N01/111	doi	Prologue - a fool in the island	Jennifer Livett	Southerly	72	1	2012-01-01	111-120	publisher	type	reviewed-work	url
data/Southerly/2012/v072n01/Sthrly2012V072N01/121	doi	Cranford at Moreton bay: Jessica Anderson's the commandant	Susan Sheridan	Southerly	72	1	2012-01-01	121-135	publisher	type	reviewed-work	url
data/Southerly/2012/v072n01/Sthrly2012V072N01/136	doi	The queerness of Jessica Anderson's fiction	Damien Barlow	Southerly	72	1	2012-01-01	136-152	publisher	type	reviewed-work	url
