WORDCOUNTS,WEIGHT
the,73
and,45
her,15
work,12
issue,10
that,10
essay,9
this,8
with,8
writers,8
essays,7
from,7
are,6
for,6
has,5
its,5
literary,5
southerly,5
which,5
women,5
also,4
andersons,4
fiction,4
included,4
long,4
new,4
was,4
writing,4
across,3
argues,3
australian,3
creative,3
elizabeth,3
feminist,3
here,3
historical,3
house,3
ito,3
last,3
not,3
novel,3
one,3
public,3
publication,3
published,3
relations,3
social,3
their,3
these,3
who,3
addition,2
astleys,2
before,2
between,2
big,2
but,2
changes,2
claims,2
colonial,2
commandant,2
commentary,2
considered,2
cultural,2
current,2
deal,2
dobson,2
dorothy,2
established,2
final,2
first,2
focus,2
focused,2
focuses,2
franklin,2
great,2
his,2
home,2
impact,2
includes,2
increased,2
into,2
jessica,2
journal,2
june,2
langleys,2
late,2
like,2
limited,2
male,2
men,2
minto,2
more,2
neglected,2
offers,2
only,2
oreilly,2
paddock,2
patrick,2
performance,2
pinko,2
poetry,2
private,2
process,2
projects,2
publishing,2
range,2
ranges,2
reading,2
response,2
role,2
scheer,2
sculpture,2
she,2
since,2
southerlys,2
stead,2
thea,2
theme,2
themed,2
titled,2
treep,2
two,2
usual,2
utopian,2
war,2
well,2
white,2
wish,2
works,2
year,2
you,2
about,1
absences,1
account,1
acklands,1
activity,1
address,1
advice,1
after,1
against,1
alaska,1
alongside,1
already,1
american,1
anderson,1
andre,1
answers,1
anxi,1
anxieties,1
appear,1
archive,1
argue,1
armtwisting,1
art,1
artist,1
artists,1
asks,1
assembles,1
assistants,1
astley,1
attempt,1
attention,1
attracted,1
australia,1
australias,1
balances,1
bancroft,1
barlows,1
based,1
beautiful,1
becomes,1
been,1
beyond,1
black,1
blessed,1
blurring,1
body,1
bright,1
brush,1
call,1
callil,1
can,1
career,1
carmen,1
cataclysm,1
central,1
characters,1
christina,1
claim,1
class,1
collected,1
commitment,1
community,1
compelling,1
complex,1
comrades,1
conceived,1
concerned,1
confidants,1
connected,1
connection,1
connections,1
contem,1
content,1
continue,1
contradictory,1
contributions,1
convict,1
copy,1
counterparts,1
course,1
cover,1
covering,1
critical,1
criticism,1
crucial,1
culmination,1
culture,1
currency,1
currents,1
damien,1
dark,1
darks,1
day,1
dazzling,1
debate,1
decisions,1
deeply,1
delighted,1
delves,1
designed,1
detailed,1
development,1
discontinuous,1
disparate,1
distinctive,1
divide,1
divides,1
documents,1
domains,1
draw,1
dynamics,1
each,1
earlier,1
editors,1
ejection,1
eleanor,1
enables,1
end,1
engage,1
ensure,1
entire,1
episodic,1
eties,1
eve,1
evil,1
examination,1
examines,1
exhaustive,1
experience,1
explorer,1
extended,1
familial,1
family,1
fascinating,1
fate,1
felicity,1
felix,1
female,1
fiancé,1
fictions,1
fifteen,1
figure,1
finally,1
fiona,1
fool,1
friend,1
friends,1
full,1
gay,1
gender,1
generally,1
generations,1
genre,1
get,1
government,1
greater,1
ground,1
groundswell,1
group,1
happy,1
hard,1
harrowers,1
hear,1
heart,1
helen,1
hence,1
heritage,1
hewett,1
hewetts,1
however,1
husband,1
hysteric,1
identifications,1
identifies,1
ideological,1
images,1
impulse,1
indeed,1
infused,1
instance,1
instead,1
invitation,1
invite,1
island,1
jane,1
jennifer,1
john,1
karen,1
kate,1
katherine,1
kind,1
know,1
kylie,1
lady,1
lamb,1
lambs,1
landscape,1
lane,1
lantana,1
later,1
launch,1
leaving,1
left,1
let,1
list,1
literature,1
livetts,1
lucy,1
lunacy,1
magazines,1
main,1
many,1
masterpiece,1
materialist,1
mcmahon,1
members,1
michael,1
midcentury,1
mindful,1
missing,1
morrison,1
morrisons,1
much,1
museum,1
naomi,1
narra,1
nature,1
negative,1
newcomers,1
non,1
nonfiction,1
nonplaces,1
nos,1
nostrums,1
novels,1
now,1
numerous,1
obituary,1
occur,1
occurred,1
occurring,1
oeuvre,1
offer,1
online,1
opens,1
ordinary,1
original,1
our,1
out,1
outlets,1
overflowing,1
overland,1
painted,1
part,1
particular,1
party,1
past,1
people,1
period,1
perspective,1
persuasively,1
piece,1
pink,1
planning,1
played,1
pleasure,1
plight,1
plunketts,1
political,1
politics,1
poor,1
porary,1
position,1
possibility,1
postscript,1
postwar,1
practice,1
praised,1
present,1
presenting,1
presents,1
prestigious,1
prichard,1
production,1
profound,1
project,1
prologue,1
protagonist,1
provides,1
publish,1
queerness,1
rackety,1
rather,1
read,1
readings,1
real,1
reassesses,1
received,1
recently,1
refreshments,1
regarding,1
register,1
relational,1
remains,1
remit,1
reorganises,1
reputations,1
research,1
residents,1
resolve,1
responses,1
restrictive,1
result,1
revealing,1
reviews,1
rhetorical,1
riddle,1
riddles,1
rival,1
rosemary,1
salute,1
schwensen,1
sense,1
serious,1
set,1
settler,1
seven,1
shaw,1
sheridan,1
sheridans,1
shifting,1
shows,1
similarly,1
site,1
sitka,1
some,1
sou,1
spent,1
sphere,1
stable,1
state,1
steads,1
stitt,1
strikingly,1
suburb,1
suburban,1
such,1
susan,1
susannah,1
swept,1
sydney,1
synthesis,1
system,1
taken,1
takes,1
talgic,1
talking,1
tenant,1
thanks,1
there,1
they,1
thinking,1
though,1
three,1
time,1
timely,1
title,1
tive,1
toby,1
together,1
tony,1
too,1
topic,1
tower,1
translations,1
treatment,1
treeps,1
tribute,1
turns,1
unaccountably,1
under,1
underclass,1
underpinned,1
undertaken,1
uniquely,1
unpublished,1
unsw,1
urban,1
vastly,1
verdict,1
view,1
viewed,1
vital,1
vitality,1
volumes,1
watch,1
watching,1
wattlebirds,1
ways,1
website,1
welcome,1
were,1
westerly,1
what,1
where,1
while,1
whose,1
wider,1
will,1
within,1
witness,1
wonderful,1
working,1
world,1
would,1
wounded,1
yet,1
yrs,1
