id,title,authors,citation_issue,pdf_filename,published_at,slug,type,url
1,Richard Rorty’s Pragmatic Rehabilitation of Literary Criticism as a ‘Kind of Writing’,Ned Curthoys,28.4,richard-rortys-pragmatic-rehabilitation-ned-curthoys-28-4.pdf,2013-11-01,richard-rortys-pragmatic-rehabilitation-of-literary-criticism-as-a-kind-of-writing,essay,https://www.australianliterarystudies.com.au/articles/richard-rortys-pragmatic-rehabilitation-of-literary-criticism-as-a-kind-of-writing
2,"Poetry, Activism and Cultural Capital",Ann Collett,28.4,poetry-activism-and-cultural-ann-collett-28-4.pdf,2013-11-01,poetry-activism-and-cultural-capital,essay,https://www.australianliterarystudies.com.au/articles/poetry-activism-and-cultural-capital
3,"Cloud-Borne Angels, Prophets and the Old Woman’s Flower-Pot: Reading George Eliot’s Realism alongside Spinoza’s ‘beings of the imagination’",Moira Gatens,28.3,cloud-borne-angels-prophets-and-moira-gatens-28-3.pdf,2013-10-01,cloud-borne-angels-prophets-and-the-old-womans-flower-pot-reading-george-eliots-realism-alongside-spinozas-beings-of-the-imagination,essay,https://www.australianliterarystudies.com.au/articles/cloud-borne-angels-prophets-and-the-old-womans-flower-pot-reading-george-eliots-realism-alongside-spinozas-beings-of-the-imagination
4,"‘Tarrying with the Impossible’: Daniel Stein, Interpreter and the Politics of Translation",Ned Curthoys,28.3,tarrying-with-the-impossible-ned-curthoys-28-3.pdf,2013-10-01,tarrying-with-the-impossible-daniel-stein-interpreter-and-the-politics-of-translation,essay,https://www.australianliterarystudies.com.au/articles/tarrying-with-the-impossible-daniel-stein-interpreter-and-the-politics-of-translation
5,"Conceptual Poetry, Nonconceptual Poetry, Postconceptual Poetry",Thomas Ford,28.3,conceptual-poetry-nonconceptual-poetry-thomas-ford-28-3.pdf,2013-10-01,conceptual-poetry-nonconceptual-poetry-postconceptual-poetry,essay,https://www.australianliterarystudies.com.au/articles/conceptual-poetry-nonconceptual-poetry-postconceptual-poetry
6,English Studies in Australia: Repositioning the Subject,Paul Giles,28.1-2,english-studies-in-australia-paul-giles-28-1-2.pdf,2013-06-01,english-studies-in-australia-repositioning-the-subject,essay,https://www.australianliterarystudies.com.au/articles/english-studies-in-australia-repositioning-the-subject
7,English Studies: A Personal Journey,G.J. V. Prasad,28.1-2,english-studies-a-personal-gj-v-prasad-28-1-2.pdf,2013-06-01,english-studies-a-personal-journey,essay,https://www.australianliterarystudies.com.au/articles/english-studies-a-personal-journey
8,Disciplined Action? The Challenges of English at Canterbury and Beyond,Dan Bedgood,28.1-2,disciplined-action-the-challenges-dan-bedgood-28-1-2.pdf,2013-06-01,disciplined-action-the-challenges-of-english-at-canterbury-and-beyond,essay,https://www.australianliterarystudies.com.au/articles/disciplined-action-the-challenges-of-english-at-canterbury-and-beyond
9,Once We Were a Discipline: Stray Thoughts on English,Vijay Mishra,28.1-2,once-we-were-a-vijay-mishra-28-1-2.pdf,2013-06-01,once-we-were-a-discipline-stray-thoughts-on-english,essay,https://www.australianliterarystudies.com.au/articles/once-we-were-a-discipline-stray-thoughts-on-english
10,The Politics of English Studies in India,Nandana Dutta,28.1-2,the-politics-of-english-nandana-dutta-28-1-2.pdf,2013-06-01,the-politics-of-english-studies-in-india,essay,https://www.australianliterarystudies.com.au/articles/the-politics-of-english-studies-in-india
11,"Where Literary Studies Is, and What It Does",Anthony Uhlmann,28.1-2,where-literary-studies-is-anthony-uhlmann-28-1-2.pdf,2013-06-01,where-literary-studies-is-and-what-it-does,essay,https://www.australianliterarystudies.com.au/articles/where-literary-studies-is-and-what-it-does
12,The ‘Hollowness’ of English? A Case for Narratology,"James Meffan, Kim L. Worthington",28.1-2,the-hollowness-of-english-kim-l-worthington-james-meffan-28-1-2.pdf,2013-06-01,the-hollowness-of-english-a-case-for-narratology,essay,https://www.australianliterarystudies.com.au/articles/the-hollowness-of-english-a-case-for-narratology
13,"Delight and Revolution: Literary Studies, Aesthetics and Ideology",Lyn McCredden,28.1-2,delight-and-revolution-literary-lyn-mccredden-28-1-2.pdf,2013-06-01,delight-and-revolution-literary-studies-aesthetics-and-ideology,essay,https://www.australianliterarystudies.com.au/articles/delight-and-revolution-literary-studies-aesthetics-and-ideology
14,English Studies at the University of New England: A Report from the Field.,Jennifer Ann McDonnell,28.1-2,english-studies-at-the-jennifer-ann-mcdonnell-28-1-2.pdf,2013-06-01,english-studies-at-the-university-of-new-england-a-report-from-the-field,essay,https://www.australianliterarystudies.com.au/articles/english-studies-at-the-university-of-new-england-a-report-from-the-field
15,Afterword: The Story of a Bookmark,Tanya Dalziell,28.1-2,afterword-the-story-of-tanya-dalziell-28-1-2.pdf,2013-06-01,afterword-the-story-of-a-bookmark,essay,https://www.australianliterarystudies.com.au/articles/afterword-the-story-of-a-bookmark
16,"Review of *Reading by Numbers: Recalibrating the Literary Field*, by Katherine Bode.",Maryanne Dever,27.3/4,review-by-maryanne-dever-27-3-4.pdf,2012-11-01,review-by-maryanne-dever,review,https://www.australianliterarystudies.com.au/articles/review-by-maryanne-dever
17,"Review of *Shirley Hazzard: Literary Expatriate and Cosmopolitan Humanist*, by Brigitta Olubas",Robert Dixon,27.3/4,review-by-robert-dixon-27-3-4.pdf,2012-11-01,review-by-robert-dixon,review,https://www.australianliterarystudies.com.au/articles/review-by-robert-dixon
18,"Review of The Burning Library: Our Great Novelists Lost and Found, by Geordie Williamson.",Susan Lever,27.3/4,review-by-susan-lever-27-3-4.pdf,2012-11-01,review-by-susan-lever,review,https://www.australianliterarystudies.com.au/articles/review-by-susan-lever
19,"Review of Republics of Letters: Literary Communities in Australia, edited by Peter Kirkpatrick and Robert Dixon.",Lydia Wevers,27.3/4,review-by-lydia-wevers-27-3-4.pdf,2012-11-01,review-by-lydia-wevers,review,https://www.australianliterarystudies.com.au/articles/review-by-lydia-wevers
20,"Review of Larrikins: A History, by Melissa Bellanta.",Philip Butterss,27.3/4,review-by-philip-butterss-27-3-4.pdf,2012-11-01,review-by-philip-butterss,review,https://www.australianliterarystudies.com.au/articles/review-by-philip-butterss
