id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed.work	abstract
data/ALS/a-bellyful-of-bali-robin-gerster-17-4	doi	A Bellyful of Bali : Travel, Writing and Australia/Asia Relationships	Robin Gerster	Australian Literary Studies	17	4	1996-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/a-bellyful-of-bali-travel-writing-and-australiaasia-relationships
data/ALS/a-bibliography-of-barbara-sally-krimmer-7-4	doi	A Bibliography of Barbara Baynton	Sally Krimmer	Australian Literary Studies	7	4	1976-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/a-bibliography-of-barbara-baynton
data/ALS/a-book-by-any-penny-van-toorn-24-2	doi	A Book By Any Other Name? Towards a Social History of the Book in Aboriginal Australia	Penny Van Toorn	Australian Literary Studies	24	2	2009-06-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/a-book-by-any-other-name-towards-a-social-history-of-the-book-in-aboriginal-australia
data/ALS/a-checklist-of-australian-j-t-laird-12-2	doi	A Checklist of Australian Literature of the First World War	J. T. Laird	Australian Literary Studies	12	2	1985-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/a-checklist-of-australian-literature-of-the-first-world-war
data/ALS/a-checklist-of-australian-j-t-laird-4-2	doi	A Checklist of Australian Literature of World War I	J. T. Laird	Australian Literary Studies	4	2	1969-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/a-checklist-of-australian-literature-of-world-war-i
data/ALS/a-checklist-of-australian-peter-pierce-12-2	doi	A Checklist of Australian Literature of the Vietnam War	Peter Pierce	Australian Literary Studies	12	2	1985-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/a-checklist-of-australian-literature-of-the-vietnam-war
data/ALS/a-checklist-of-australian-robin-gerster-12-2	doi	A Checklist of Australian Prose of the Second World War	Robin Gerster	Australian Literary Studies	12	2	1985-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/a-checklist-of-australian-prose-of-the-second-world-war
data/ALS/a-checklist-of-black-adam-shoemaker-11-2	doi	A Checklist of Black Australian Literature	Adam Shoemaker	Australian Literary Studies	11	2	1983-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/a-checklist-of-black-australian-literature
data/ALS/a-checklist-of-kenneth-4-4	doi	A Checklist of Kenneth Mackenzie’s Works	Diana Davis	Australian Literary Studies	4	4	1970-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/a-checklist-of-kenneth-mackenzies-works
data/ALS/a-checklist-of-new-carole-sklan-8-2	doi	A Checklist of New Writing in Australia	Carole Sklan	Australian Literary Studies	8	2	1977-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/a-checklist-of-new-writing-in-australia
data/ALS/a-checklist-of-the-hugh-anderson-4-3	doi	A Checklist of the Poems of Robert D. FitzGerald, 1917-1965	Hugh Anderson	Australian Literary Studies	4	3	1970-05-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/a-checklist-of-the-poems-of-robert-d-fitzgerald-1917-1965
data/ALS/a-checklist-of-the-shirley-walker-9-2	doi	A Checklist of the Writings of J.P. McKinney	Shirley Walker	Australian Literary Studies	9	2	1979-10-01	pagerange	publisher	essay	reviewed-work	https://www.australianliterarystudies.com.au/articles/a-checklist-of-the-writings-of-jp-mckinney
