id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed.work	abstract
data/Antipodes/41955811-NGRAMS1	doi	Dingo's Picnic	B. WONGAR	Antipodes	1	1	1987-03-01	p. 4-6	publisher	type	reviewed_work	http://www.jstor.org/stable/41955811
data/Antipodes/41955812-NGRAMS1	doi	Far East Gippsland	DENNIS NICHOLSON	Antipodes	1	1	1987-03-01	p. 6-6	publisher	type	reviewed_work	http://www.jstor.org/stable/41955812
data/Antipodes/41955813-NGRAMS1	doi	Chapter from a new novel "The Man Who Knew Walesa"	THOMAS KENEALLY	Antipodes	1	1	1987-03-01	p. 7-9	publisher	type	reviewed_work	http://www.jstor.org/stable/41955813
data/Antipodes/41955814-NGRAMS1	doi	Intensive Care	CHRIS WALLACE-CRABBE	Antipodes	1	1	1987-03-01	p. 9-9	publisher	type	reviewed_work	http://www.jstor.org/stable/41955814
data/Antipodes/41955815-NGRAMS1	doi	A Diesel Epiphany	THEA ASTLEY	Antipodes	1	1	1987-03-01	p. 10-11	publisher	type	reviewed_work	http://www.jstor.org/stable/41955815
data/Antipodes/41955816-NGRAMS1	doi	Dispute at Sunrise	KEVIN HART	Antipodes	1	1	1987-03-01	p. 11-11	publisher	type	reviewed_work	http://www.jstor.org/stable/41955816
data/Antipodes/41955817-NGRAMS1	doi	Leaf Spring	LES A. MURRAY	Antipodes	1	1	1987-03-01	p. 12-12	publisher	type	reviewed_work	http://www.jstor.org/stable/41955817
data/Antipodes/41955818-NGRAMS1	doi	The Bishop of Ross's Errand	A. D. HOPE	Antipodes	1	1	1987-03-01	p. 13-13	publisher	type	reviewed_work	http://www.jstor.org/stable/41955818
data/Antipodes/41955819-NGRAMS1	doi	The Dear Departed	PHILIP MEAD	Antipodes	1	1	1987-03-01	p. 14-14	publisher	type	reviewed_work	http://www.jstor.org/stable/41955819
data/Antipodes/41955820-NGRAMS1	doi	Joy and the Bikies	BARBARA HANRAHAN	Antipodes	1	1	1987-03-01	p. 15-16	publisher	type	reviewed_work	http://www.jstor.org/stable/41955820
data/Antipodes/41955821-NGRAMS1	doi	Broadway Vision	FAY ZWICKY	Antipodes	1	1	1987-03-01	p. 17-17	publisher	type	reviewed_work	http://www.jstor.org/stable/41955821
data/Antipodes/41955822-NGRAMS1	doi	Flying Over the Australian Alps	ALAN GOULD	Antipodes	1	1	1987-03-01	p. 18-19	publisher	type	reviewed_work	http://www.jstor.org/stable/41955822
data/Antipodes/41955823-NGRAMS1	doi	A Queenslander Remembers the Twentieth Century	MARK O'CONNOR	Antipodes	1	1	1987-03-01	p. 19-19	publisher	type	reviewed_work	http://www.jstor.org/stable/41955823
data/Antipodes/41955824-NGRAMS1	doi	Her Practice	GERARD WINDSOR	Antipodes	1	1	1987-03-01	p. 20-20	publisher	type	reviewed_work	http://www.jstor.org/stable/41955824
data/Antipodes/41955825-NGRAMS1	doi	Some American and Australian Literary Connections and Disconnections	BRIAN KIERNAN	Antipodes	1	1	1987-03-01	p. 21-26	publisher	type	reviewed_work	http://www.jstor.org/stable/41955825
data/Antipodes/41955826-NGRAMS1	doi	Matilda on Main Street: Naturalizing Australian Literature for American Readers	CAROLYN BLISS	Antipodes	1	1	1987-03-01	p. 27-34	publisher	type	reviewed_work	http://www.jstor.org/stable/41955826
data/Antipodes/41955827-NGRAMS1	doi	The Frontier Legacy: Willa Cather and Henry Handel Richardson	JACK W. BENNETT	Antipodes	1	1	1987-03-01	p. 35-39	publisher	type	reviewed_work	http://www.jstor.org/stable/41955827
data/Antipodes/41955828-NGRAMS1	doi	A Conversation with Shirley Hazzard	Shirley Hazzard	Antipodes	1	1	1987-03-01	p. 40-43	publisher	type	reviewed_work	http://www.jstor.org/stable/41955828
data/Antipodes/41955846-NGRAMS1	doi	Virago Press Offers Stunning List of Australian Viragos	SUE ROFF	Antipodes	1	1	1987-03-01	p. 58-59	publisher	type	reviewed_work	http://www.jstor.org/stable/41955846
data/Antipodes/41955847-NGRAMS1	doi	Australian Books Emerge from 'Down Under' in U.S. Bookstores	DIANA HANAOR	Antipodes	1	1	1987-03-01	p. 59-60	publisher	type	reviewed_work	http://www.jstor.org/stable/41955847
data/Antipodes/41955852-NGRAMS1	doi	Haiku from "Edge"	JUDITH WRIGHT	Antipodes	1	2	1987-11-01	p. 64-64	publisher	type	reviewed_work	http://www.jstor.org/stable/41955852
data/Antipodes/41955853-NGRAMS1	doi	from "Untold Lives" The Major-General	ROSEMARY DOBSON	Antipodes	1	2	1987-11-01	p. 64-64	publisher	type	reviewed_work	http://www.jstor.org/stable/41955853
data/Antipodes/41955854-NGRAMS1	doi	The Rose Fancier	OLGA MASTERS	Antipodes	1	2	1987-11-01	p. 65-67	publisher	type	reviewed_work	http://www.jstor.org/stable/41955854
data/Antipodes/41955856-NGRAMS1	doi	Grave Doubts	ALISON CLARK	Antipodes	1	2	1987-11-01	p. 70-70	publisher	type	reviewed_work	http://www.jstor.org/stable/41955856
data/Antipodes/41955857-NGRAMS1	doi	Water Cycle	CHRIS ANDREWS	Antipodes	1	2	1987-11-01	p. 70-70	publisher	type	reviewed_work	http://www.jstor.org/stable/41955857
