id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed.work	abstract
data/SRB/1	doi	The Brain Feign	Anna Funder	SRB	1		2013-01-29	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/the-brain-feign/
data/SRB/2	doi	Auto da fÃ©	Geordie Williamson	SRB	1		2013-01-29	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/auto-da-fe/
data/SRB/3	doi	What we talk about when we talk about Australian literature		SRB	1		2013-01-29	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/what-we-talk-about-when-we-talk-about-australian-literature/
data/SRB/4	doi	Tripped up, tripped out	Michelle de Kretser	SRB	1		2013-01-29	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/tripped-up-tripped-out/
data/SRB/5	doi	God and pogo sticks	MTC Cronin and Work Author	SRB	1		2013-01-29	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/god-and-pogo-sticks/
data/SRB/6	doi	The Assignments of Robert Drewe	Robert Drewe	SRB	2		2013-02-05	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/the-assignments-of-robert-drewe/
data/SRB/7	doi	Coming from Tradition, Returning to Tradition		SRB	2		2013-02-05	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/coming-from-tradition-returning-to-tradition/
data/SRB/8	doi	Shot doveâ€™s feathers	Kevin Powers and Ben Fountain	SRB	2		2013-02-07	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/shot-doves-feathers/
data/SRB/9	doi	Moods and mirrors	Brian Castro	SRB	2		2013-02-12	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/moods-and-mirrors/
data/SRB/10	doi	Yours, Outraged, of no fixed address	Salman Rushdie	SRB	2		2013-02-15	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/yours-outraged-of-no-fixed-address/
data/SRB/11	doi	The archeology of memory	Belinda Castles	SRB	2		2013-02-19	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/the-archeology-of-memory/
data/SRB/12	doi	Narrative Parkour	Alice Melike Ãœlgezer	SRB	2		2013-02-21	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/narrative-parkour/
data/SRB/13	doi	Parallel fates		SRB	2		2013-02-21	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/parallel-fates-2/
data/SRB/14	doi	Subtle persuasive protest	Jennifer Maiden	SRB	2		2013-02-25	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/subtle-persuasive-protest/
data/SRB/15	doi	The mind has mountains	D.T. Max	SRB	2		2013-02-28	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/the-mind-has-mountains/
data/SRB/16	doi	Radiant, everlasting	Alice Munro	SRB	3		2013-03-04	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/radiant-everlasting/
data/SRB/17	doi	The Provincial and the Princess	Murray Bail	SRB	3		2013-03-07	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/the-provincial-and-the-princess/
data/SRB/18	doi	Precarious images	Robert Gray	SRB	3		2013-03-11	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/precarious-images/
data/SRB/19	doi	The late unfunny ones: Philip Roth	Philip Roth	SRB	3		2013-03-14	pagerange	publisher	type	reviewed_work	http://sydneyreviewofbooks.com/the-late-unfunny-ones/
